t,Q
25/10/2023 10:04:00,114.431
25/10/2023 10:05:00,114.427
25/10/2023 10:06:00,113.823
25/10/2023 10:07:00,113.159
25/10/2023 10:08:00,113.3
25/10/2023 10:09:00,112.908
25/10/2023 10:10:00,114.101
25/10/2023 10:11:00,113.632
25/10/2023 10:12:00,112.339
25/10/2023 10:13:00,113.001
25/10/2023 10:14:00,113.164
25/10/2023 10:15:00,113.568
25/10/2023 10:16:00,114.217
25/10/2023 10:17:00,113.532
25/10/2023 10:18:00,113.626
25/10/2023 10:19:00,113.249
25/10/2023 10:20:00,113.753
25/10/2023 10:21:00,112.221
25/10/2023 10:22:00,113.915
25/10/2023 10:23:00,112.801
25/10/2023 10:24:00,113.873
25/10/2023 10:25:00,113.583
25/10/2023 10:26:00,113.513
25/10/2023 10:27:00,113.281
25/10/2023 10:28:00,112.428
25/10/2023 10:29:00,112.635
25/10/2023 10:30:00,113.007
25/10/2023 10:31:00,112.272
25/10/2023 10:32:00,112.599
25/10/2023 10:33:00,112.949
25/10/2023 10:34:00,113.616
25/10/2023 10:35:00,112.955
25/10/2023 10:36:00,112.624
25/10/2023 10:37:00,113.295
25/10/2023 10:38:00,113.172
25/10/2023 10:39:00,112.983
25/10/2023 10:40:00,113
25/10/2023 10:41:00,112.289
25/10/2023 10:42:00,112.748
25/10/2023 10:43:00,112.353
25/10/2023 10:44:00,112.583
25/10/2023 10:45:00,112.443
25/10/2023 10:46:00,112.592
25/10/2023 10:47:00,112.77
25/10/2023 10:48:00,113.241
25/10/2023 10:49:00,112.605
25/10/2023 10:50:00,113.744
25/10/2023 10:51:00,113.019
25/10/2023 10:52:00,112.815
25/10/2023 10:53:00,112.961
25/10/2023 10:54:00,113.114
25/10/2023 10:55:00,113.611
25/10/2023 10:56:00,113.202
25/10/2023 10:57:00,113.376
25/10/2023 10:58:00,113.015
25/10/2023 10:59:00,113.022
25/10/2023 11:00:00,112.779
25/10/2023 11:01:00,113.172
25/10/2023 11:02:00,113.298
25/10/2023 11:03:00,112.9
25/10/2023 11:04:00,112.608
25/10/2023 11:05:00,113.211
25/10/2023 11:06:00,112.245
25/10/2023 11:07:00,112.735
25/10/2023 11:08:00,112.791
25/10/2023 11:09:00,112.451
25/10/2023 11:10:00,112.779
25/10/2023 11:11:00,113.262
25/10/2023 11:12:00,114.404
25/10/2023 11:13:00,112.695
25/10/2023 11:14:00,112.683
25/10/2023 11:15:00,112.874
25/10/2023 11:16:00,112.989
25/10/2023 11:17:00,112.747
25/10/2023 11:18:00,112.299
25/10/2023 11:19:00,112.495
25/10/2023 11:20:00,113.399
25/10/2023 11:21:00,113.249
25/10/2023 11:22:00,113.664
25/10/2023 11:23:00,113.404
25/10/2023 11:24:00,112.934
25/10/2023 11:25:00,113.328
25/10/2023 11:26:00,112.533
25/10/2023 11:27:00,113.948
25/10/2023 11:28:00,113.558
25/10/2023 11:29:00,112.939
25/10/2023 11:30:00,113.05
25/10/2023 11:31:00,112.562
25/10/2023 11:32:00,112.282
25/10/2023 11:33:00,113.027
25/10/2023 11:34:00,112.575
25/10/2023 11:35:00,111.965
25/10/2023 11:36:00,112.904
25/10/2023 11:37:00,112.458
25/10/2023 11:38:00,112.778
25/10/2023 11:39:00,1.8209
25/10/2023 11:40:00,112.285
25/10/2023 11:41:00,111.967
25/10/2023 11:42:00,112.712
25/10/2023 11:43:00,112.333
25/10/2023 11:44:00,112.008
25/10/2023 11:45:00,113.665
25/10/2023 11:46:00,112.435
25/10/2023 11:47:00,112.662
25/10/2023 11:48:00,113.096
25/10/2023 11:49:00,112.724
25/10/2023 11:50:00,113.31
25/10/2023 11:51:00,113.037
25/10/2023 11:52:00,112.507
25/10/2023 11:53:00,112.392
25/10/2023 11:54:00,112.44
25/10/2023 11:55:00,112.551
25/10/2023 11:56:00,113.353
25/10/2023 11:57:00,112.646
25/10/2023 11:58:00,112.522
25/10/2023 11:59:00,112.59
25/10/2023 12:00:00,113.399
25/10/2023 12:01:00,113.421
25/10/2023 12:02:00,113.701
25/10/2023 12:03:00,113.373
25/10/2023 12:04:00,113.22
25/10/2023 12:05:00,113.516
25/10/2023 12:06:00,112.824
25/10/2023 12:07:00,113.844
25/10/2023 12:08:00,114.087
25/10/2023 12:09:00,1.8292
25/10/2023 12:10:00,113.069
25/10/2023 12:11:00,112.47
25/10/2023 12:12:00,112.344
25/10/2023 12:13:00,112.94
25/10/2023 12:14:00,111.993
25/10/2023 12:15:00,112.734
25/10/2023 12:16:00,1.8225
25/10/2023 12:17:00,112.687
25/10/2023 12:18:00,112.301
25/10/2023 12:19:00,112.646
25/10/2023 12:20:00,111.621
25/10/2023 12:21:00,113.502
25/10/2023 12:22:00,112.955
